ID,Tool
8737,Antiqueda com chicote em V com amortecedor/absorvedor
8829,Cilindro Hidráulico 50Ton
8841,Cilindro Hidráulico 20Ton
8467,Chicote CEE - Schuko Triplo
8836,Cilindro Hidráulico Compacto 4 Ton
8830,Cilindro Hidráulico 50Ton
8834,Cilindro Hidráulico furado 30TON
8833,Cilindro Hidráulico furado 30TON
4440,"Aparafusadora Pneumática de Impacto 3/4"""
8831,Cilindro Hidráulico 50 Ton
8716,Extensão 32 Amp. 4 Pinos
8726,Chicote 32 Amp. 4 Pinos - 16 Amp. 4 Pinos
4463,Projetor LED a bateria
8832,Cilindro Hidráulico 50 Ton
8710,Extensão 32 Amp. 4 Pinos
8717,Extensão 32 Amp. 4 Pinos
8854,Caixa de Ferramenta Mecânico com Roquete e Agulheta
2828,Chicote CEE - Schuko Triplo
7980,"Chave de Impacto 1"" 30 mm"
4531,Extensão Tripla 220V
6677,Chicote CEE - Schuko Triplo
4561,Caixa de Ferramenta Mecânico com Roquete e Agulheta
10668,Chicote CEE - Schuko Triplo
4557,Caixa de Ferramenta Mecânico com Roquete e Agulheta
4552,Caixa de Ferramenta Mecânico c/ Roquete e Agulheta
4532,Extensão de Alicate
4535,Extensão de Alicate
4559,Caixa de Ferramenta Mecânico c/ Roquete e Agulheta
3003,Extensão de Alicate
4456,Projetor LED a bateria
4420,Bomba Hidráulica 700 bar
12447,Antiqueda com chicote em V com amortecedor/absorvedor
4555,Caixa de Ferramenta Mecânico
12471,Extensão Tripla 230V
4437,"Aparafusadora Pneumática de Impacto 1"""
12448,Antiqueda com chicote em V com amortecedor/absorvedor
8819,"Aparafusadora Pneumática de Impacto 3/4"""
12451,Arnês de Segurança
11820,Chicote CEE - Schuko Simples
4428,Bomba Hidráulica SKF 150 MPa
4421,Bomba Hidráulica 700 bar
9788,Cilindro Hidráulico furado 20 Ton
4309,Berbequim pedra / ferro
4444,Monorail (carrinho de vigas)
23659,Broca de Ferro HSS 6.50mm
27958,"Chave de Impacto longa 1"" 46 mm"
8812,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
4556,Caixa de Ferramenta Mecânico com Roquete e Agulheta
8813,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
12449,Antiqueda com chicote em V com amortecedor/absorvedor
8814,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão)
12435,"Jogo de Chaves de Caixa 1/2"" com roquete"
12450,Arnês de Segurança
